  id  |      nome      | total | qtdVotos | votos1 | votos2 | votos3 | votos4 | votos5 | votos6 | votos7 | votos8 | votos9 |         createdAt          |         updatedAt          |    votosmedia    | likePos | likeNeg 
 2173 | infeliz        |     2 |        1 |      0 |      1 |      0 |      0 |      0 |      0 |      0 |      0 |      0 | 2017-04-10 12:57:40.979-04 | 2017-04-14 10:52:48.102-04 |                2 |       0 |       0
 2109 | fino           |     8 |        1 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      1 |      0 | 2017-04-10 12:57:40.936-04 | 2017-04-13 14:23:49.248-04 |                8 |       0 |       0
 2038 | bom            |     7 |        1 |      0 |      0 |      0 |      0 |      0 |      0 |      1 |      0 |      0 | 2017-04-10 12:57:40.894-04 | 2017-04-13 14:24:08.976-04 |                7 |       0 |       0
 2174 | sombrio        |     3 |        1 |      0 |      0 |      1 |      0 |      0 |      0 |      0 |      0 |      0 | 2017-04-10 12:57:40.979-04 | 2017-04-13 14:25:30.578-04 |                3 |       0 |       0
 2108 | seco           |     5 |        2 |      1 |      0 |      0 |      1 |      0 |      0 |      0 |      0 |      0 | 2017-04-10 12:57:40.936-04 | 2017-04-13 15:22:08.039-04 |              2.5 |       0 |       0
 2075 | importante     |    15 |        2 |      0 |      0 |      0 |      0 |      0 |      1 |      0 |      0 |      1 | 2017-04-10 12:57:40.916-04 | 2017-04-14 10:54:55.088-04 |              7.5 |       0 |       0
 2198 | falso          |     5 |        2 |      1 |      0 |      0 |      1 |      0 |      0 |      0 |      0 |      0 | 2017-04-10 12:57:40.983-04 | 2017-04-14 11:01:43.049-04 |              2.5 |       0 |       0
 2113 | pálido         |    13 |        4 |      0 |      0 |      3 |      1 |      0 |      0 |      0 |      0 |      0 | 2017-04-10 12:57:40.937-04 | 2017-04-15 08:16:01.591-04 |             3.25 |       0 |       0
 2134 | grave          |     3 |        1 |      0 |      0 |      1 |      0 |      0 |      0 |      0 |      0 |      0 | 2017-04-10 12:57:40.941-04 | 2017-04-17 13:15:01.222-04 |                3 |       0 |       0
 2195 | interessado    |     7 |        1 |      0 |      0 |      0 |      0 |      0 |      0 |      1 |      0 |      0 | 2017-04-10 12:57:40.982-04 | 2017-04-13 11:28:23.083-04 |                7 |       0 |       0
 2247 | vasto          |    19 |        3 |      0 |      0 |      0 |      0 |      1 |      1 |      0 |      1 |      0 | 2017-04-10 12:57:40.998-04 | 2017-04-15 08:17:19.974-04 | 6.33333333333333 |       0 |       0
 2300 | delicioso      |    24 |        3 |      0 |      0 |      0 |      0 |      0 |      0 |      1 |      1 |      1 | 2017-04-10 12:57:41.005-04 | 2017-04-15 08:17:17.356-04 |                8 |       0 |       0
 2280 | excelente      |    36 |        4 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      4 | 2017-04-10 12:57:41.002-04 | 2017-04-13 14:17:25.556-04 |                9 |       0 |       0
 2046 | único          |     7 |        1 |      0 |      0 |      0 |      0 |      0 |      0 |      1 |      0 |      0 | 2017-04-10 12:57:40.895-04 | 2017-04-13 11:24:35.87-04  |                7 |       0 |       0
 2214 | furioso        |     3 |        1 |      0 |      0 |      1 |      0 |      0 |      0 |      0 |      0 |      0 | 2017-04-10 12:57:40.987-04 | 2017-04-14 10:56:08.088-04 |                3 |       0 |       0
 2209 | incapaz        |     4 |        2 |      0 |      2 |      0 |      0 |      0 |      0 |      0 |      0 |      0 | 2017-04-10 12:57:40.986-04 | 2017-04-13 14:20:01.359-04 |                2 |       0 |       0
 2229 | irritado       |     4 |        2 |      1 |      0 |      1 |      0 |      0 |      0 |      0 |      0 |      0 | 2017-04-10 12:57:40.99-04  | 2017-04-13 14:30:47.28-04  |                2 |       0 |       0
 2061 | difícil        |     4 |        2 |      1 |      0 |      1 |      0 |      0 |      0 |      0 |      0 |      0 | 2017-04-10 12:57:40.909-04 | 2017-04-14 02:14:07.539-04 |                2 |       0 |       0
 2222 | elegante       |    14 |        2 |      0 |      0 |      0 |      0 |      0 |      1 |      0 |      1 |      0 | 2017-04-10 12:57:40.988-04 | 2017-04-14 10:59:39.01-04  |                7 |       0 |       0
 2091 | largo          |    17 |        2 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      1 |      1 | 2017-04-10 12:57:40.921-04 | 2017-04-13 13:27:42.846-04 |              8.5 |       0 |       0
 2056 | escuro         |     6 |        2 |      0 |      0 |      2 |      0 |      0 |      0 |      0 |      0 |      0 | 2017-04-10 12:57:40.901-04 | 2017-04-13 14:16:43.12-04  |                3 |       0 |       0
 2252 | confuso        |     2 |        1 |      0 |      1 |      0 |      0 |      0 |      0 |      0 |      0 |      0 | 2017-04-10 12:57:40.998-04 | 2017-04-17 13:08:54.189-04 |                2 |       0 |       0
 2125 | cansado        |     5 |        2 |      1 |      0 |      0 |      1 |      0 |      0 |      0 |      0 |      0 | 2017-04-10 12:57:40.939-04 | 2017-04-14 10:59:24.564-04 |              2.5 |       0 |       0
 2285 | cor-de-rosa    |    19 |        3 |      0 |      0 |      0 |      0 |      0 |      2 |      1 |      0 |      0 | 2017-04-10 12:57:41.003-04 | 2017-04-14 10:59:34.392-04 | 6.33333333333333 |       0 |       0
 2242 | útil           |     7 |        1 |      0 |      0 |      0 |      0 |      0 |      0 |      1 |      0 |      0 | 2017-04-10 12:57:40.997-04 | 2017-04-15 08:04:00.48-04  |                7 |       0 |       0
 2190 | moderno        |    14 |        2 |      0 |      0 |      0 |      0 |      0 |      1 |      0 |      1 |      0 | 2017-04-10 12:57:40.982-04 | 2017-04-15 08:17:10.472-04 |                7 |       0 |       0
 2315 | cruel          |     1 |        1 |      1 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 | 2017-04-10 12:57:41.007-04 | 2017-04-17 13:13:54.674-04 |                1 |       0 |       0
 2212 | absurdo        |    11 |        3 |      0 |      0 |      1 |      2 |      0 |      0 |      0 |      0 |      0 | 2017-04-10 12:57:40.986-04 | 2017-04-17 13:14:21.56-04  | 3.66666666666667 |       0 |       0
 2062 | antigo         |     7 |        1 |      0 |      0 |      0 |      0 |      0 |      0 |      1 |      0 |      0 | 2017-04-10 12:57:40.909-04 | 2017-04-13 12:15:08.173-04 |                7 |       0 |       0
 2186 | fresco         |     7 |        1 |      0 |      0 |      0 |      0 |      0 |      0 |      1 |      0 |      0 | 2017-04-10 12:57:40.981-04 | 2017-04-13 11:26:32.859-04 |                7 |       0 |       0
 2087 | jovem          |     9 |        1 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      1 | 2017-04-10 12:57:40.921-04 | 2017-04-13 11:27:00.921-04 |                9 |       0 |       0
 2067 | sério          |     1 |        1 |      1 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 | 2017-04-10 12:57:40.911-04 | 2017-04-13 14:35:23.784-04 |                1 |       0 |       0
 2131 | brilhante      |     8 |        1 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      1 |      0 | 2017-04-10 12:57:40.94-04  | 2017-04-13 12:19:38.233-04 |                8 |       0 |       0
 2156 | horrível       |     4 |        2 |      0 |      2 |      0 |      0 |      0 |      0 |      0 |      0 |      0 | 2017-04-10 12:57:40.961-04 | 2017-04-13 12:19:32.816-04 |                2 |       0 |       0
 2141 | raro           |     7 |        1 |      0 |      0 |      0 |      0 |      0 |      0 |      1 |      0 |      0 | 2017-04-10 12:57:40.943-04 | 2017-04-13 12:24:37.465-04 |                7 |       0 |       0
 2077 | sentado        |     3 |        1 |      0 |      0 |      1 |      0 |      0 |      0 |      0 |      0 |      0 | 2017-04-10 12:57:40.917-04 | 2017-04-13 14:28:21.698-04 |                3 |       0 |       0
 2395 | fatal          |     5 |        2 |      1 |      0 |      0 |      1 |      0 |      0 |      0 |      0 |      0 | 2017-04-10 12:57:41.017-04 | 2017-04-13 14:22:55.089-04 |              2.5 |       0 |       0
 2348 | culpado        |     4 |        2 |      0 |      2 |      0 |      0 |      0 |      0 |      0 |      0 |      0 | 2017-04-10 12:57:41.011-04 | 2017-04-14 10:58:13.797-04 |                2 |       0 |       0
 2052 | capaz          |     9 |        1 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      1 | 2017-04-10 12:57:40.9-04   | 2017-04-13 13:29:49.223-04 |                9 |       0 |       0
